Rank,Movie,Release_Date,Distributor,Genre,MPAA,2008_Gross,Tickets_Sold,Inflation_Adjusted_Gross,Tickets_Sold_by10000,2008_Gross_by1000000
1,The Dark Knight,7/18/2008,Warner Bros.,Action/Adventure,PG-13,531001578,73955652,531001581,7395.5652,531.001578
2,Iron Man,5/2/2008,Paramount Pictures,Action/Adventure,PG-13,318412101,44347089,318412099,4434.7089,318.412101
3,Indiana Jones and the Kingdom of the Crystal Skull,5/22/2008,Paramount Pictures,Action/Adventure,PG-13,317101119,44164501,317101117,4416.4501,317.101119
4,Hancock,7/2/2008,Sony Pictures,Action/Adventure,PG-13,227946274,31747392,227946275,3174.7392,227.946274
5,WALL-E,6/27/2008,Buena Vista,Comedy,G,223806889,31170876,223806890,3117.0876,223.806889
6,Kung Fu Panda,6/6/2008,Paramount Pictures,Action/Adventure,PG,215434591,30004818,215434593,3000.4818,215.434591
7,Madagascar: Escape 2 Africa,11/7/2008,Paramount Pictures,Comedy,PG,177016810,24654152,177016811,2465.4152,177.01681
8,Twilight,11/21/2008,Summit Entertainment,Drama/Musical,PG-13,176922850,24641065,176922847,2464.1065,176.92285
9,Quantum of Solace,11/14/2008,Sony Pictures,Action/Adventure,PG-13,166820413,23234041,166820414,2323.4041,166.820413
10,Horton Hears a Who,3/14/2008,20th Century Fox,Action/Adventure,G,154529439,21522206,154529439,2152.2206,154.529439
11,Sex and the City,5/30/2008,Warner Bros.,Comedy,R,152647258,21260064,152647260,2126.0064,152.647258
12,Mamma Mia!,7/18/2008,Universal,Drama/Musical,PG-13,144130063,20073825,144130064,2007.3825,144.130063
13,Juno,12/5/2007,Fox Searchlight,Comedy,PG-13,143495265,19985413,143495265,1998.5413,143.495265
14,The Chronicles of Narnia: Prince Caspian,5/16/2008,Buena Vista,Action/Adventure,PG,141621490,19724442,141621494,1972.4442,141.62149
15,The Incredible Hulk,6/13/2008,Universal,Action/Adventure,PG-13,134806913,18775336,134806912,1877.5336,134.806913
16,Wanted,6/27/2008,Universal,Action/Adventure,R,134508551,18733781,134508548,1873.3781,134.508551
17,Get Smart,6/20/2008,Warner Bros.,Comedy,PG-13,130319208,18150308,130319211,1815.0308,130.319208
18,Four Christmases,11/26/2008,Warner Bros.,Comedy,PG-13,118189834,16460980,118189836,1646.098,118.189834
19,Tropic Thunder,8/13/2008,Paramount Pictures,Comedy,R,110515313,15392105,110515314,1539.2105,110.515313
20,Bolt,11/21/2008,Buena Vista,Comedy,PG,109917145,15308795,109917148,1530.8795,109.917145
21,Marley & Me,12/25/2008,20th Century Fox,Comedy,PG,106664046,14855717,106664048,1485.5717,106.664046
