Rank,Movie,Release_Date,Distributor,Genre,MPAA,Gross_Collection,Tickets_Sold,Inflation_Adjusted_Gross,Tickets_TT,Gross_ML,RT_Rating
1,The Dark Knight,39647,Warner Bros.,Action/Adventure,PG-13,531001578,73955652,531001581,7395.5652,531.001578,8.2
2,Iron Man,39570,Paramount Pictures,Action/Adventure,PG-13,318412101,44347089,318412099,4434.7089,318.412101,7.4
3,Indiana Jones and the Kingdom of the Crystal Skull,39590,Paramount Pictures,Action/Adventure,PG-13,317101119,44164501,317101117,4416.4501,317.101119,5.7
4,Hancock,39631,Sony Pictures,Action/Adventure,PG-13,227946274,31747392,227946275,3174.7392,227.946274,6.2
5,WALL-E,39626,Buena Vista,Comedy,G,223806889,31170876,223806890,3117.0876,223.806889,7.8
6,Kung Fu Panda,39605,Paramount Pictures,Action/Adventure,PG,215434591,30004818,215434593,3000.4818,215.434591,6.9
7,Madagascar: Escape 2 Africa,39759,Paramount Pictures,Comedy,PG,177016810,24654152,177016811,2465.4152,177.01681,6.2
8,Twilight,39773,Summit Entertainment,Drama/Musical,PG-13,176922850,24641065,176922847,2464.1065,176.92285,5.8
9,Quantum of Solace,39766,Sony Pictures,Action/Adventure,PG-13,166820413,23234041,166820414,2323.4041,166.820413,6.1
12,Mamma Mia!,39647,Universal,Drama/Musical,PG-13,144130063,20073825,144130064,2007.3825,144.130063,6.4
13,Juno,39421,Fox Searchlight,Comedy,PG-13,143495265,19985413,143495265,1998.5413,143.495265,7
14,The Chronicles of Narnia: Prince Caspian,39584,Buena Vista,Action/Adventure,PG,141621490,19724442,141621494,1972.4442,141.62149,6.3
15,The Incredible Hulk,39612,Universal,Action/Adventure,PG-13,134806913,18775336,134806912,1877.5336,134.806913,6.1
16,Wanted,39626,Universal,Action/Adventure,R,134508551,18733781,134508548,1873.3781,134.508551,6.4
17,Get Smart,39619,Warner Bros.,Comedy,PG-13,130319208,18150308,130319211,1815.0308,130.319208,6
18,Four Christmases,39778,Warner Bros.,Comedy,PG-13,118189834,16460980,118189836,1646.098,118.189834,5.3
19,Tropic Thunder,39673,Paramount Pictures,Comedy,R,110515313,15392105,110515314,1539.2105,110.515313,6.5
20,Bolt,39773,Buena Vista,Comedy,PG,109917145,15308795,109917148,1530.8795,109.917145,6.3
21,Marley & Me,39807,20th Century Fox,Comedy,PG,106664046,14855717,106664048,1485.5717,106.664046,6.9
22,The Mummy: Tomb of the Dragon Emperor,39661,Universal,Action/Adventure,PG-13,102491776,14274621,102491779,1427.4621,102.491776,5.2
23,Journey to the Center of the Earth,39640,Warner Bros.,Action/Adventure,PG,101704370,14164954,101704370,1416.4954,101.70437,5.8
24,Eagle Eye,39717,Paramount Pictures,Thriller/Suspense,PG-13,101401695,14122799,101401697,1412.2799,101.401695,6.3
25,Step Brothers,39654,Sony Pictures,Comedy,R,100468793,13992868,100468792,1399.2868,100.468793,6.5
26,You Don't Mess With the Zohan,39605,Sony Pictures,Comedy,PG-13,100018837,13930200,100018836,1393.02,100.018837,5.5
28,Beverly Hills Chihuahua,39724,Buena Vista,Comedy,PG,93778953,13061136,93778956,1306.1136,93.778953,4.9
29,The Bucket List,39441,Warner Bros.,Comedy,PG-13,92588080,12895276,92588082,1289.5276,92.58808,7
30,High School Musical 3: Senior Year,39745,Buena Vista,Drama/Musical,G,90224290,12566057,90224289,1256.6057,90.22429,6.2
32,Bedtime Stories,39807,Buena Vista,Comedy,PG,85539168,11913533,85539167,1191.3533,85.539168,5.9
33,21,39535,Sony Pictures,Thriller/Suspense,PG-13,81159365,11303533,81159367,1130.3533,81.159365,6.5
35,Jumper,39492,20th Century Fox,Action/Adventure,PG-13,80172128,11166035,80172131,1116.6035,80.172128,5.9
36,Cloverfield,39465,Paramount Pictures,Action/Adventure,PG-13,80048433,11148807,80048434,1114.8807,80.048433,6.4
37,Yes Man,39801,Warner Bros.,Comedy,PG-13,79507388,11073452,79507385,1107.3452,79.507388,6.4
38,The Curious Case of Benjamin Button,39807,Paramount Pictures,Drama/Musical,PG-13,79297086,11044162,79297083,1104.4162,79.297086,7.3
40,27 Dresses,39465,20th Century Fox,Comedy,PG-13,76808654,10697584,76808653,1069.7584,76.808654,6.1
42,The Day the Earth Stood Still,39794,20th Century Fox,Action/Adventure,PG-13,74424256,10365495,74424254,1036.5495,74.424256,5.2
43,Vantage Point,39500,Sony Pictures,Thriller/Suspense,PG-13,72266306,10064945,72266305,1006.4945,72.266306,6.2
44,The Spiderwick Chronicles,39492,Paramount Pictures,Action/Adventure,PG,71195053,9915746,71195056,991.5746,71.195053,6.3
45,Fool's Gold,39486,Warner Bros.,Action/Adventure,PG-13,70231041,9781482,70231041,978.1482,70.231041,5.4
46,Role Models,39759,Universal,Comedy,R,66703740,9290214,66703737,929.0214,66.70374,6.4
48,The Happening,39612,20th Century Fox,Thriller/Suspense,R,64506874,8984244,64506872,898.4244,64.506874,4.9
49,Alvin and the Chipmunks,39430,20th Century Fox,Comedy,,63694531,8871105,63694534,887.1105,63.694531,5.5
50,Forgetting Sarah Marshall,39556,Universal,Comedy,R,63172463,8798393,63172462,879.8393,63.172463,6.4
51,Valkyrie,39807,United Artists,Thriller/Suspense,PG-13,60691979,8452922,60691980,845.2922,60.691979,6.7
52,Baby Mama,39563,Universal,Comedy,PG-13,60494212,8425378,60494214,842.5378,60.494212,5.8
53,Burn After Reading,39703,Focus Features,Comedy,R,60355347,8406037,60355346,840.6037,60.355347,6.5
54,Seven Pounds,39801,Sony Pictures,Drama/Musical,PG-13,60147298,8377061,60147298,837.7061,60.147298,7.5
56,Saw V,39745,Lionsgate,Horror,R,56746769,7903450,56746771,790.345,56.746769,5.9
58,The Forbidden Kingdom,39556,Lionsgate,Action/Adventure,PG-13,52075270,7252823,52075269,725.2823,52.07527,6.3
59,I am Legend,39430,Warner Bros.,Horror,PG-13,50263436,7000479,50263439,700.0479,50.263436,6.9
60,The House Bunny,39682,Sony Pictures,Comedy,PG-13,48237389,6718299,48237387,671.8299,48.237389,5.6
61,Nim's Island,39542,20th Century Fox,Action/Adventure,PG,48006762,6686179,48006765,668.6179,48.006762,5.6
62,Australia,39778,20th Century Fox,Drama/Musical,PG-13,46686713,6502328,46686715,650.2328,46.686713,6.3
63,Made of Honor,39570,Sony Pictures,Comedy,PG-13,46012734,6408459,46012736,640.8459,46.012734,6
65,The Sisterhood of the Traveling Pants 2,39666,Warner Bros.,Action/Adventure,PG-13,44089964,6140664,44089968,614.0664,44.089964,6
66,Speed Racer,39577,Warner Bros.,Action/Adventure,PG,43945766,6120580,43945764,612.058,43.945766,5.7
67,Prom Night,39549,Sony/Screen Gems,Horror,PG-13,43869350,6109937,43869348,610.9937,43.86935,4.8
68,The Tale of Despereaux,39801,Universal,Action/Adventure,G,43661775,6081027,43661774,608.1027,43.661775,5.8
70,Welcome Home Roscoe Jenkins,39486,Universal,Comedy,PG-13,42436517,5910378,42436514,591.0378,42.436517,5.7
73,Max Payne,39738,20th Century Fox,Action/Adventure,PG-13,40677229,5665352,40677227,566.5352,40.677229,5.2
74,Righteous Kill,39703,Overture Films,Thriller/Suspense,R,40081410,5582369,40081409,558.2369,40.08141,5.9
75,There Will Be Blood,39442,Paramount Vantage,Drama/Musical,R,39795491,5542547,39795487,554.2547,39.795491,7.9
